ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
10085681,oostende,189000€,No,,1.0,54.0,,,,,,,,,,,Just renovated,apartment,
10237639,knokke,745000€,No,,2.0,96.0,,,,,,,,,,,,apartment,
9971511,brugge,145000€,No,,1.0,20.0,Installed,No,,Yes,,,,,,,Good,apartment,
10058153,zeebrugge,249000€,No,,2.0,60.0,Installed,,,Yes,,,,,2.0,,As new,apartment,
10300710,knokke-heist,1145000€,No,,4.0,131.0,Hyper equipped,No,,,20.0,,,,2.0,,Good,apartment,
10240031,oostende,135000€,No,,1.0,39.0,Installed,No,,,,,,,,,Good,apartment,
10303136,knokke,848000€,No,,2.0,84.0,,,,Yes,,,,,,,,apartment,
9949692,oostende,360000€,No,,2.0,76.0,Installed,No,,,6.0,,,,2.0,,As new,apartment,
10238660,oostende,295000€,No,,2.0,86.0,,,,Yes,,,,,,,,apartment,
10057014,bredene,194000€,No,,2.0,,Installed,No,,,,,,,2.0,,Good,apartment,
